img_name,fx,fy,fz,x,y,z,x_shear,y_shear
romboid_img_0.jpg,-0.001,0.002,0.002,0.0,0.0,1.2,0,0
romboid_img_1.jpg,0.001,0.001,-0.001,0.0,0.0,1.2,0,0.2
romboid_img_2.jpg,0.001,0.001,0.001,0.0,0.0,1.2,0,0.5
romboid_img_3.jpg,-0.001,0.001,0.001,0.0,0.0,1.2,0,0.8
romboid_img_4.jpg,-0.001,0.002,-0.001,0.0,0.0,1.2,0,1.1
romboid_img_5.jpg,-0.001,0.001,-0.0,0.0,0.0,1.2,0.2,0
romboid_img_6.jpg,0.001,0.0,-0.0,0.0,0.0,1.2,0.5,0
romboid_img_7.jpg,0.002,0.001,-0.0,0.0,0.0,1.2,0.8,0
romboid_img_8.jpg,0.003,-0.002,0.002,0.0,0.0,1.2,1.1,0
romboid_img_9.jpg,0.0,-0.004,0.002,0.0,0.0,1.3,0,0
romboid_img_10.jpg,-0.0,-0.003,0.002,0.0,0.0,1.3,0,0.2
romboid_img_11.jpg,-0.0,-0.003,0.002,0.0,0.0,1.3,0,0.5
romboid_img_12.jpg,-0.0,-0.001,0.001,0.0,0.0,1.3,0,0.8
romboid_img_13.jpg,0.001,-0.001,-0.001,0.0,0.0,1.3,0,1.1
romboid_img_14.jpg,0.003,-0.0,0.002,0.0,0.0,1.3,0.2,0
romboid_img_15.jpg,0.001,-0.0,0.001,0.0,0.0,1.3,0.5,0
romboid_img_16.jpg,0.002,-0.001,0.001,0.0,0.0,1.3,0.8,0
romboid_img_17.jpg,0.002,-0.001,0.001,0.0,0.0,1.3,1.1,0
romboid_img_18.jpg,0.002,-0.001,0.001,0.0,0.0,1.4,0,0
romboid_img_19.jpg,0.001,-0.002,-0.001,0.0,0.0,1.4,0,0.2
romboid_img_20.jpg,0.004,-0.003,0.005,0.0,0.0,1.4,0,0.5
romboid_img_21.jpg,0.004,-0.002,0.005,0.0,0.0,1.4,0,0.8
romboid_img_22.jpg,0.004,-0.001,0.003,0.0,0.0,1.4,0,1.1
romboid_img_23.jpg,0.005,-0.002,0.003,0.0,0.0,1.4,0.2,0
romboid_img_24.jpg,0.007,-0.002,0.005,0.0,0.0,1.4,0.5,0
romboid_img_25.jpg,0.006,-0.002,0.007,0.0,0.0,1.4,0.8,0
romboid_img_26.jpg,0.007,-0.002,0.008,0.0,0.0,1.4,1.1,0
romboid_img_27.jpg,0.008,-0.005,-0.01,0.0,0.0,1.5,0,0
romboid_img_28.jpg,0.007,0.01,-0.021,0.0,0.0,1.5,0,0.2
romboid_img_29.jpg,0.009,0.022,-0.039,0.0,0.0,1.5,0,0.5
romboid_img_30.jpg,0.012,0.048,-0.074,0.0,0.0,1.5,0,0.8
romboid_img_31.jpg,0.017,0.078,-0.115,0.0,0.0,1.5,0,1.1
romboid_img_32.jpg,0.019,-0.005,-0.014,0.0,0.0,1.5,0.2,0
romboid_img_33.jpg,0.03,-0.003,-0.027,0.0,0.0,1.5,0.5,0
romboid_img_34.jpg,0.046,-0.001,-0.048,0.0,0.0,1.5,0.8,0
romboid_img_35.jpg,0.064,0.001,-0.069,0.0,0.0,1.5,1.1,0
romboid_img_36.jpg,0.015,0.002,-0.1,0.0,0.0,1.6,0,0
romboid_img_37.jpg,0.027,0.092,-0.128,0.0,0.0,1.6,0,0.2
romboid_img_38.jpg,0.029,0.135,-0.174,0.0,0.0,1.6,0,0.5
romboid_img_39.jpg,0.04,0.19,-0.245,0.0,0.0,1.6,0,0.8
romboid_img_40.jpg,0.047,0.251,-0.319,0.0,0.0,1.6,0,1.1
romboid_img_41.jpg,0.12,0.008,-0.116,0.0,0.0,1.6,0.2,0
romboid_img_42.jpg,0.151,0.004,-0.154,0.0,0.0,1.6,0.5,0
romboid_img_43.jpg,0.189,0.006,-0.196,0.0,0.0,1.6,0.8,0
romboid_img_44.jpg,0.233,0.01,-0.246,0.0,0.0,1.6,1.1,0
romboid_img_45.jpg,0.024,0.004,-0.242,0.0,0.0,1.7,0,0
romboid_img_46.jpg,0.058,0.155,-0.283,0.0,0.0,1.7,0,0.2
romboid_img_47.jpg,0.089,0.299,-0.362,0.0,0.0,1.7,0,0.5
romboid_img_48.jpg,0.096,0.394,-0.477,0.0,0.0,1.7,0,0.8
romboid_img_49.jpg,0.108,0.496,-0.591,0.0,0.0,1.7,0,1.1
romboid_img_50.jpg,0.201,0.033,-0.276,0.0,0.0,1.7,0.2,0
romboid_img_51.jpg,0.33,0.044,-0.338,0.0,0.0,1.7,0.5,0
romboid_img_52.jpg,0.391,0.042,-0.408,0.0,0.0,1.7,0.8,0
romboid_img_53.jpg,0.469,0.043,-0.479,0.0,0.0,1.7,1.1,0
romboid_img_54.jpg,0.045,0.025,-0.432,0.0,0.0,1.8,0,0
romboid_img_55.jpg,0.095,0.207,-0.49,0.0,0.0,1.8,0,0.2
romboid_img_56.jpg,0.162,0.451,-0.612,0.0,0.0,1.8,0,0.5
romboid_img_57.jpg,0.217,0.688,-0.786,0.0,0.0,1.8,0,0.8
romboid_img_58.jpg,0.227,0.837,-0.953,0.0,0.0,1.8,0,1.1
romboid_img_59.jpg,0.26,0.068,-0.478,0.0,0.0,1.8,0.2,0
romboid_img_60.jpg,0.545,0.109,-0.564,0.0,0.0,1.8,0.5,0
romboid_img_61.jpg,0.687,0.12,-0.674,0.0,0.0,1.8,0.8,0
romboid_img_62.jpg,0.799,0.127,-0.805,0.0,0.0,1.8,1.1,0
romboid_img_63.jpg,0.068,0.056,-0.692,0.0,0.0,1.9,0,0
romboid_img_64.jpg,0.131,0.268,-0.76,0.0,0.0,1.9,0,0.2
romboid_img_65.jpg,0.227,0.563,-0.923,0.0,0.0,1.9,0,0.5
