,fx,fy,fz,x,y,z,x_shear,y_shear
0,0.0001073,5.376e-05,-0.00300769,0.0,0.0,0.0,,
1,0.00133228,-0.00085335,-0.00167062,0.0,0.0,0.0,0.0,0.0
2,0.00270053,0.00182412,-0.08637944,0.0,0.0,1.3,0.0,0.0
3,0.00578406,0.06590954,-0.10821513,0.0,0.0,1.3,0.0,0.2
4,0.00432233,0.09973261,-0.14460317,0.0,0.0,1.3,0.0,0.5
5,0.00590086,0.13413467,-0.19086059,0.0,0.0,1.3,0.0,0.8
6,0.00998349,0.17654902,-0.23772447,0.0,0.0,1.3,0.0,1.1
7,0.07817138,0.00491865,-0.10643691,0.0,0.0,1.3,0.2,0.0
8,0.10782709,0.00564361,-0.14034309,0.0,0.0,1.3,0.5,0.0
9,0.14188538,0.00924537,-0.18262947,0.0,0.0,1.3,0.8,0.0
10,0.17752337,0.01216818,-0.23590145,0.0,0.0,1.3,1.1,0.0
11,0.02756878,0.02950866,-0.35529492,0.0,0.0,1.4,0.0,0.0
12,0.06569699,0.30249061,-0.41112232,0.0,0.0,1.4,0.0,0.2
13,0.05112562,0.4193657,-0.48970833,0.0,0.0,1.4,0.0,0.5
14,0.04351888,0.50885118,-0.57089705,0.0,0.0,1.4,0.0,0.8
15,0.04581604,0.59108667,-0.65014029,0.0,0.0,1.4,0.0,1.1
16,0.32670474,0.06785673,-0.41214757,0.0,0.0,1.4,0.2,0.0
17,0.46265365,0.06390573,-0.49768739,0.0,0.0,1.4,0.5,0.0
18,0.54645176,0.05867294,-0.58321583,0.0,0.0,1.4,0.8,0.0
19,0.64199958,0.06028523,-0.67460351,0.0,0.0,1.4,1.1,0.0
20,0.08479297,0.07258115,-0.82203611,0.0,0.0,1.5,0.0,0.0
21,0.15314837,0.45865171,-0.90046937,0.0,0.0,1.5,0.0,0.2
22,0.22242458,0.94293133,-1.04688264,0.0,0.0,1.5,0.0,0.5
23,0.23906531,1.23446225,-1.20860245,0.0,0.0,1.5,0.0,0.8
24,0.21881598,1.32657598,-1.34383979,0.0,0.0,1.5,0.0,1.1
25,0.49568328,0.13001585,-0.90955274,0.0,0.0,1.5,0.2,0.0
26,0.99636036,0.20174295,-1.10409207,0.0,0.0,1.5,0.5,0.0
27,1.37999756,0.24279576,-1.31169452,0.0,0.0,1.5,0.8,0.0
28,1.5488301,0.23202911,-1.49688556,0.0,0.0,1.5,1.1,0.0
29,0.1632698,0.13746297,-1.39094007,0.0,0.0,1.6,0.0,0.0
30,0.25929338,0.58535004,-1.48497095,0.0,0.0,1.6,0.0,0.2
31,0.37550509,1.22324682,-1.69845082,0.0,0.0,1.6,0.0,0.5
32,0.47440603,1.81932891,-1.94318093,0.0,0.0,1.6,0.0,0.8
33,0.58429558,2.30560146,-2.2013005,0.0,0.0,1.6,0.0,1.1
34,0.64103496,0.2086844,-1.51221437,0.0,0.0,1.6,0.2,0.0
35,1.27664276,0.31141272,-1.79256494,0.0,0.0,1.6,0.5,0.0
36,1.88480392,0.42454084,-2.10586754,0.0,0.0,1.6,0.8,0.0
37,2.47380663,0.53047194,-2.41109335,0.0,0.0,1.6,1.1,0.0
38,0.25195293,0.19300825,-2.00281051,0.0,0.0,1.7,0.0,0.0
39,0.36726004,0.68999224,-2.11415562,0.0,0.0,1.7,0.0,0.2
40,0.5141104,1.42704311,-2.36806119,0.0,0.0,1.7,0.0,0.5
41,0.66659064,2.13448413,-2.67061277,0.0,0.0,1.7,0.0,0.8
42,0.83414629,2.77312443,-3.02869247,0.0,0.0,1.7,0.0,1.1
43,0.77781742,0.28230159,-2.15750234,0.0,0.0,1.7,0.2,0.0
44,1.48675608,0.41726869,-2.48746346,0.0,0.0,1.7,0.5,0.0
45,2.20001442,0.56180978,-2.89114388,0.0,0.0,1.7,0.8,0.0
46,2.96527174,0.70212599,-3.32809419,0.0,0.0,1.7,1.1,0.0
47,0.3617104,0.26480931,-2.70864136,0.0,0.0,1.8,0.0,0.0
